RegioNaam;RegioCode;Kiesgerechtigden;GeldigeStemmen;Staatkundig Gereformeerde Partij (SGP);Percentage SGP
Reimerswaal;G0703;15805;13083;4603;0,35183062
Staphorst;G0180;12393;11315;3834;0,338842245
Neder-Betuwe;G1740;17774;14734;4786;0,324826931
Nunspeet;G0302;21497;18473;4427;0,239647052
Rijssen-Holten;G1742;28651;25178;5884;0,233696084
Barneveld;G0203;43718;37571;8675;0,23089617
Renswoude;G0339;4055;3554;758;0,21328081
Scherpenzeel;G0279;7653;6673;1338;0,200509516
Hardinxveld-Giessendam;G0523;13818;11676;2335;0,199982871
Molenlanden;G1978;33503;28987;4816;0,166143444
Borsele;G0654;17613;14550;2413;0,165841924
Alblasserdam;G0482;15070;12162;2006;0,164939977
Goeree-Overflakkee;G1924;40054;32996;5279;0,15998909
Rhenen;G0340;15498;12692;2014;0,158682635
Sliedrecht;G0610;19525;15200;2340;0,153947368
Oldebroek;G0269;18177;14808;2183;0,147420313
Elburg;G0230;17956;15005;2212;0,147417527
Krimpen aan den IJssel;G0542;22685;18573;2564;0,138049857
Kapelle;G0678;9840;8435;1126;0,133491405
Hendrik-Ido-Ambacht;G0531;23105;19219;2400;0,124876424
Altena;G1959;43318;35352;4387;0,124094818
Ede;G0228;89676;74417;9226;0,123977048
Putten;G0273;18837;15990;1893;0,118386492
Kampen;G0166;40929;34396;3651;0,106146063
Schouwen-Duiveland;G1676;27562;22932;2108;0,091923949
Krimpenerwaard;G1931;43962;36887;3271;0,088676227
Katwijk;G0537;49533;41230;3561;0,086369149
Ridderkerk;G0597;36770;28330;2410;0,085068832
Hoeksche Waard;G1963;69784;57441;4771;0,083059139
Bunschoten;G0313;16079;13721;1121;0,081699585
Middelburg;G0687;37650;29981;2432;0,081118041
Bodegraven-Reeuwijk;G1901;26786;22630;1784;0,078833407
Ermelo;G0233;21269;17667;1285;0,072734477
Lopik;G0331;11249;9361;655;0,069971157
Goes;G0664;30538;23918;1534;0,064135797
Nijkerk;G0267;33732;27576;1735;0,062917029
Montfoort;G0335;10675;9302;518;0,055686949
Dantumadiel;G1891;15038;11860;632;0,053288364
Capelle aan den IJssel;G0502;50963;36865;1879;0,050969755
