Gemeentecode;Gemeentenaam;aantal_inwoners;gemeente_getal;Biblebelt;bible.inw
GM0166;Kampen;54319;35;bible;1556260
GM0180;Staphorst;17145;41;bible;1556260
GM0203;Barneveld;59082;49;bible;1556260
GM0214;Buren;26749;52;bible;1556260
GM0230;Elburg;23161;59;bible;1556260
GM0233;Ermelo;27008;61;bible;1556260
GM0243;Harderwijk;48416;62;bible;1556260
GM0244;Hattem;12209;63;bible;1556260
GM0246;Heerde;18589;64;bible;1556260
GM0267;Nijkerk;43171;68;bible;1556260
GM0269;Oldebroek;23646;70;bible;1556260
GM0273;Putten;24112;71;bible;1556260
GM0279;Scherpenzeel;9880;75;bible;1556260
GM0297;Zaltbommel;28881;82;bible;1556260
GM0302;Nunspeet;27851;85;bible;1556260
GM0313;Bunschoten;21866;91;bible;1556260
GM0331;Lopik;14467;95;bible;1556260
GM0339;Renswoude;5444;97;bible;1556260
GM0340;Rhenen;20119;98;bible;1556260
GM0345;Veenendaal;66493;101;bible;1556260
GM0351;Woudenberg;13362;102;bible;1556260
GM0505;Dordrecht;119284;153;bible;1556260
GM0523;Hardinxveld-Giessendam;18295;157;bible;1556260
GM0531;Hendrik-Ido-Ambacht;31202;159;bible;1556260
GM0542;Krimpen aan den IJssel;29528;163;bible;1556260
GM0597;Ridderkerk;46191;173;bible;1556260
GM0610;Sliedrecht;25220;177;bible;1556260
GM0627;Waddinxveen;29291;182;bible;1556260
GM0642;Zwijndrecht;44737;187;bible;1556260
GM0687;Middelburg;48823;193;bible;1556260
GM0716;Tholen;25757;196;bible;1556260
GM0717;Veere;21880;197;bible;1556260
GM1705;Lingewaard;46601;297;bible;1556260
GM1740;Neder-Betuwe;24339;313;bible;1556260
GM1896;Zwartewaterland;22685;328;bible;1556260
GM1901;Bodegraven-Reeuwijk;34872;330;bible;1556260
GM1924;Goeree-Overflakkee;50049;335;bible;1556260
GM1931;Krimpenerwaard;56319;338;bible;1556260
GM1959;Altena;55967;348;bible;1556260
GM1960;West Betuwe;51128;349;bible;1556260
GM1961;Vijfheerenlanden;56811;350;bible;1556260
GM1963;Hoeksche Waard;87402;351;bible;1556260
GM1978;Molenlanden;43909;355;bible;1556260
