"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",239924,52.7,11145,54.6
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",100432,22,4159,20.4
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",66238,14.5,3600,17.6
"Verpleeghuis of woonzorgcentrum voor ouderen4",28236,6.2,1307,6.4
"2e lijn gezondheidszorg / ziekenhuis",6258,1.4,340,1.7
"Woonvoorziening voor mensen met een beperking",5625,1.2,267,1.3
"Overige gezondheidszorg",4666,1,232,1.1
"School en kinderopvang",22879,5,209,1
"Religieuze bijeenkomsten",2256,0.5,130,0.6
"Overige woonvoorziening",2819,0.6,120,0.6
"1e lijn gezondheidszorg / huisarts",1625,0.4,100,0.5
"Uitvaart",1443,0.3,99,0.5
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1754,0.4,72,0.4
"Dagopvang voor ouderen en mensen met een",1463,0.3,80,0.4
"beperking",NA,NA,NA,NA
"Medereiziger / reis / vakantie",1262,0.3,23,0.1
"Vlucht",320,0.1,16,0.1
"Horeca",2475,0.5,30,0.1
"Studentenvereniging/-activiteiten",824,0.2,11,0.1
"Vrijetijdsbesteding, zoals sportclub",6593,1.4,21,0.1
"Overige dagopvang",515,0.1,30,0.1
"Hospice",631,0.1,29,0.1
"Koor",188,0,3,0
"Overig",5309,1.2,266,1.3
