date,b117_total,b117_new,za,za_new,source
2020-12-05,1,1,,,https://www.rijksoverheid.nl/documenten/rapporten/2020/12/22/advies-vws-na-omt-92-en-93
2020-12-06,1,,,,
2020-12-07,1,,,,
2020-12-08,1,,,,
2020-12-09,1,,,,
2020-12-10,1,,,,
2020-12-11,1,,,,
2020-12-12,1,,,,
2020-12-13,1,,,,
2020-12-14,1,,,,
2020-12-15,1,,,,
2020-12-16,1,,,,
2020-12-17,1,,,,
2020-12-18,1,,,,
2020-12-19,1,,,,
2020-12-20,1,,,,
2020-12-21,1,,,,
2020-12-22,1,,,,
2020-12-23,1,,,,
2020-12-24,1,,,,
2020-12-25,1,,,,
2020-12-26,1,,,,
2020-12-27,1,,,,
2020-12-28,1,,,,
2020-12-29,1,,,,
2020-12-30,1,,,,
2020-12-31,15,14,,,https://www.rijksoverheid.nl/documenten/brieven/2020/12/31/advies-nav-94e-omt
2021-01-01,15,,,,
2021-01-02,15,,,,
2021-01-03,15,,,,
2021-01-04,15,,,,
2021-01-05,15,,,,
2021-01-06,15,,,,
2021-01-07,15,,,,
2021-01-08,15,,,,
2021-01-09,15,,,,
2021-01-10,15,,,,
2021-01-11,111,96,1,1,https://www.rijksoverheid.nl/documenten/rapporten/2021/01/13/95e-omt-advies
2021-01-12,111,,,,
2021-01-13,111,,,,
2021-01-14,111,,,,
2021-01-15,111,,,,
2021-01-16,200,89,,,
2021-01-17,200,,,,
