"date","new_cases","new_dead"
2020-12-11,57,0
2020-12-12,36,1
2020-12-13,39,0
2020-12-14,43,0
2020-12-15,41,1
2020-12-16,63,0
2020-12-17,73,1
2020-12-18,71,2
2020-12-19,49,0
2020-12-20,50,1
2020-12-21,34,1
2020-12-22,88,2
2020-12-23,106,1
2020-12-24,87,2
2020-12-25,88,0
2020-12-26,48,0
2020-12-27,56,0
2020-12-28,54,0
2020-12-29,90,3
2020-12-30,59,1
2020-12-31,84,0
2021-01-01,56,1
2021-01-02,46,0
2021-01-03,38,0
2021-01-04,35,1
2021-01-05,52,2
2021-01-06,37,1
2021-01-07,39,0
2021-01-08,50,0
2021-01-09,56,0
2021-01-10,42,0
2021-01-11,32,0
2021-01-12,38,4
2021-01-13,39,0
2021-01-14,67,0
2021-01-15,40,0
2021-01-16,38,1
2021-01-17,41,0
2021-01-18,42,1
2021-01-19,48,2
2021-01-20,44,0
2021-01-21,51,0
2021-01-22,56,1
2021-01-23,43,2
2021-01-24,39,0
2021-01-25,20,1
2021-01-26,33,0
2021-01-27,42,1
2021-01-28,55,3
2021-01-29,51,0
2021-01-30,44,0
2021-01-31,31,0
2021-02-01,0,0
2021-02-02,81,0
2021-02-03,39,1
2021-02-04,78,1
2021-02-05,52,2
2021-02-06,45,1
2021-02-07,32,0
2021-02-08,33,0
2021-02-09,67,3
2021-02-10,69,1
2021-02-11,91,-1
2021-02-12,34,0
2021-02-13,82,1
2021-02-14,29,0
2021-02-15,30,0
2021-02-16,54,1
2021-02-17,66,5
2021-02-18,54,0
2021-02-19,35,0
2021-02-20,38,0
2021-02-21,31,0
2021-02-22,40,1
2021-02-23,36,2
2021-02-24,17,1
2021-02-25,29,0
2021-02-26,36,0
2021-02-27,56,2
2021-02-28,25,0
2021-03-01,20,0
2021-03-02,29,0
2021-03-03,24,1
2021-03-04,21,0
2021-03-05,21,1
2021-03-06,27,1
2021-03-07,9,0
2021-03-08,12,1
2021-03-09,17,0
2021-03-10,18,1
2021-03-11,33,0
2021-03-12,17,1
2021-03-13,33,1
2021-03-14,22,0
2021-03-15,8,0
2021-03-16,19,0
2021-03-17,18,1
2021-03-18,27,0
2021-03-19,19,0
2021-03-20,13,3
2021-03-21,10,0
2021-03-22,12,0
2021-03-23,18,1
2021-03-24,24,1
2021-03-25,22,1
2021-03-26,17,2
2021-03-27,20,0
2021-03-28,11,0
2021-03-29,11,0
2021-03-30,11,0
2021-03-31,11,0
2021-04-01,7,0
2021-04-02,8,0
2021-04-03,13,3
2021-04-04,8,0
2021-04-05,1,0
2021-04-06,6,0
2021-04-07,5,0
2021-04-08,5,0
2021-04-09,13,0
2021-04-10,14,0
2021-04-11,8,1
2021-04-12,7,0
